nct_id,outcome_domain,outcome_title,outcome_description,time_frame,time_months,outcome_idx,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,events,denominator,value_raw,is_event_count,is_rate_only,incomplete_reason,source_url
NCT01920711,HF_HOSPITALIZATION,Cumulative Number of Primary Composite Events of Cardiovascular (CV) Death and Total (First and Recurrent) HF Hospitalizations.,"The primary objective of this study is to compare LCZ696 to valsartan in reducing the rate of the composite endpoint of CV death and total (first and recurrent) HF hospitalizations, in HF patients (New York Heart Association \[NYHA\] Class II-IV) with preserved ejection fraction (left ventricular ejection fraction \[LVEF\] ≥45%). The treatment arm with the lower rate of events will be deemed as having a successful response.",Total follow up time (up to 57 months),57.0,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG000,LCZ696,treatment,ARNI,lcz696,690.0,2407,690.0,True,False,,https://clinicaltrials.gov/study/NCT01920711
NCT01920711,HF_HOSPITALIZATION,Cumulative Number of Primary Composite Events of Cardiovascular (CV) Death and Total (First and Recurrent) HF Hospitalizations.,"The primary objective of this study is to compare LCZ696 to valsartan in reducing the rate of the composite endpoint of CV death and total (first and recurrent) HF hospitalizations, in HF patients (New York Heart Association \[NYHA\] Class II-IV) with preserved ejection fraction (left ventricular ejection fraction \[LVEF\] ≥45%). The treatment arm with the lower rate of events will be deemed as having a successful response.",Total follow up time (up to 57 months),57.0,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG001,Valsartan,treatment,ARB/ACEi,valsartan,797.0,2389,797.0,True,False,,https://clinicaltrials.gov/study/NCT01920711
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG001,BAY1021189 1.25 mg,treatment,sGC stimulators,bay1021189 1.25 mg,6.0,96,6.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG002,BAY1021189 2.5 mg,treatment,sGC stimulators,bay1021189 2.5 mg,11.0,96,11.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG004,BAY1021189 2.5 mg to 10 mg,treatment,sGC stimulators,bay1021189 2.5 mg to 10 mg,5.0,96,5.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG003,BAY1021189 2.5 mg to 5 mg,treatment,sGC stimulators,bay1021189 2.5 mg to 5 mg,8.0,96,8.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG000,Placebo,comparator,Placebo/SoC,placebo,8.0,93,8.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT02173548,HF_HOSPITALIZATION,Hospital Admission for Acute Decompensated Heart Failure,Number of participants admitted to hospital for acute decompensated heart failure,24 weeks,5.523590333716917,7,resultsSection.outcomeMeasuresModule.outcomeMeasures[7],OG000,Anakinra,treatment,Other,anakinra,1.0,20,1.0,True,False,,https://clinicaltrials.gov/study/NCT02173548
NCT02173548,HF_HOSPITALIZATION,Hospital Admission for Acute Decompensated Heart Failure,Number of participants admitted to hospital for acute decompensated heart failure,24 weeks,5.523590333716917,7,resultsSection.outcomeMeasuresModule.outcomeMeasures[7],OG001,Placebo,comparator,Placebo/SoC,placebo,1.0,8,1.0,True,False,,https://clinicaltrials.gov/study/NCT02173548
NCT03037580,HF_HOSPITALIZATION,Number of Subjects With First Clinical Worsening Event From Baseline to Week 24,"Clinical worsening was defined as the occurrence of any 1 of the following clinical worsening events: hospitalization due to a cardiopulmonary indication (a non-elective hospitalization lasting at least 24 hours in duration caused by clinical conditions directly related to PH and/or heart failure), outpatient administration of IV diuretics, death (all causes), decrease in 6MWD \>15% from Baseline (or the subject was too ill to walk, and the cause was directly related to the disease under study) at 2 consecutive visits on different days (except Week 24).",Baseline to Week 24,5.523590333716916,2,resultsSection.outcomeMeasuresModule.outcomeMeasures[2],OG000,Oral Treprostinil,treatment,Other,oral treprostinil,35.0,41,35.0,True,False,,https://clinicaltrials.gov/study/NCT03037580
NCT03037580,HF_HOSPITALIZATION,Number of Subjects With First Clinical Worsening Event From Baseline to Week 24,"Clinical worsening was defined as the occurrence of any 1 of the following clinical worsening events: hospitalization due to a cardiopulmonary indication (a non-elective hospitalization lasting at least 24 hours in duration caused by clinical conditions directly related to PH and/or heart failure), outpatient administration of IV diuretics, death (all causes), decrease in 6MWD \>15% from Baseline (or the subject was too ill to walk, and the cause was directly related to the disease under study) at 2 consecutive visits on different days (except Week 24).",Baseline to Week 24,5.523590333716916,2,resultsSection.outcomeMeasuresModule.outcomeMeasures[2],OG001,Placebo,comparator,Placebo/SoC,placebo,38.0,43,38.0,True,False,,https://clinicaltrials.gov/study/NCT03037580
NCT03057951,HF_HOSPITALIZATION,Time to First Event of Adjudicated Cardiovascular (CV) Death or Adjudicated Hospitalisation for Heart Failure (HHF),"Failure with preserved Ejection Fraction (HFpEF). The incidence rate per 100 patient years (pt-yrs) is presented and calculated as followed: Incidence rate per 100 pt-yrs = 100 \* number of patients with event / time at risk \[years\]. Time at risk \[years\] = Sum of time at risk \[days\] over all patients in a treatment group / 365.25. Patients without a specific endpoint event were censored at the last date the patient was known to be free of the event or at the end of the planned treatment period, whichever was earlier.","From randomization until completion of the planned treatment phase, up to 1403 days.",46.09445585215606,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG001,10 mg Empagliflozin,treatment,SGLT2 inhibitors,empagliflozin,7.0,2997,6.86,True,False,,https://clinicaltrials.gov/study/NCT03057951
NCT03057951,HF_HOSPITALIZATION,Time to First Event of Adjudicated Cardiovascular (CV) Death or Adjudicated Hospitalisation for Heart Failure (HHF),"Failure with preserved Ejection Fraction (HFpEF). The incidence rate per 100 patient years (pt-yrs) is presented and calculated as followed: Incidence rate per 100 pt-yrs = 100 \* number of patients with event / time at risk \[years\]. Time at risk \[years\] = Sum of time at risk \[days\] over all patients in a treatment group / 365.25. Patients without a specific endpoint event were censored at the last date the patient was known to be free of the event or at the end of the planned treatment period, whichever was earlier.","From randomization until completion of the planned treatment phase, up to 1403 days.",46.09445585215606,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG000,Placebo,comparator,Placebo/SoC,placebo,9.0,2991,8.67,True,False,,https://clinicaltrials.gov/study/NCT03057951
NCT03153111,HF_HOSPITALIZATION,Number of Participants With Worsening of Heart Failure (WHF) Events Over 52 Weeks,"Number of participants with WHF events were reported. A WHF event includes HF death, hospitalization for WHF or an urgent visit for WHF.","Weeks 16, 24, 36, 52",11.967779056386652,3,resultsSection.outcomeMeasuresModule.outcomeMeasures[3],OG000,Macitentan,treatment,Other,macitentan,18.0,71,18.0,True,False,,https://clinicaltrials.gov/study/NCT03153111
NCT03153111,HF_HOSPITALIZATION,Number of Participants With Worsening of Heart Failure (WHF) Events Over 52 Weeks,"Number of participants with WHF events were reported. A WHF event includes HF death, hospitalization for WHF or an urgent visit for WHF.","Weeks 16, 24, 36, 52",11.967779056386652,3,resultsSection.outcomeMeasuresModule.outcomeMeasures[3],OG001,Placebo,comparator,Placebo/SoC,placebo,13.0,71,13.0,True,False,,https://clinicaltrials.gov/study/NCT03153111
NCT03619213,HF_HOSPITALIZATION,"Subjects Included in the Composite Endpoint of CV Death, Hospitalization Due to Heart Failure or Urgent Visit Due to Heart Failure.","Dual primary efficacy Primary endpoint analysed in all patients randomised (Full analysis set). The analysis was assessed on Full Analysis Set, including events occurring on or prior to Primary Analysis Censoring Date.",Up to 42.1 months,42.1,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG000,Dapa 10 mg,treatment,SGLT2 inhibitors,dapa 10 mg,512.0,3131,512.0,True,False,,https://clinicaltrials.gov/study/NCT03619213
NCT03619213,HF_HOSPITALIZATION,"Subjects Included in the Composite Endpoint of CV Death, Hospitalization Due to Heart Failure or Urgent Visit Due to Heart Failure.","Dual primary efficacy Primary endpoint analysed in all patients randomised (Full analysis set). The analysis was assessed on Full Analysis Set, including events occurring on or prior to Primary Analysis Censoring Date.",Up to 42.1 months,42.1,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG001,Placebo,comparator,Placebo/SoC,placebo,610.0,3132,610.0,True,False,,https://clinicaltrials.gov/study/NCT03619213
NCT03988634,HF_HOSPITALIZATION,Number of Pairwise Comparisons With Wins or Ties in the Endpoint Adjudication Committee (EAC)-Adjudicated Composite Hierarchical Outcome,"This hierarchical composite endpoint consists of 4 ordered components: 1. Time to CV death, 2. Number and times of HF hospitalizations during follow-up, 3. Number and times of urgent HF visits during follow-up, 4. Time averaged proportional change in NT-proBNP from baseline to Weeks 4 and 8. This endpoint was analyzed estimating the unmatched win ratio by comparing every participant in the sacubitril/valsartan arm to every participant in the valsartan arm to determine a winner (unmatched pairing method). For every pair, a patient is labelled a 'winner' (i.e. achieve a better clinical outcome) or a 'loser'. Otherwise they are considered tied. The reported unit is the total ""wins"" or ""ties"" for each treatment group from performing such a hierarchical comparison.",Up to 84 weeks,19.33256616800921,1,resultsSection.outcomeMeasuresModule.outcomeMeasures[1],OG002,Open-label Phase Sacubitril+ Valsartan,treatment,ARNI,sacubitril,,0,,False,False,,https://clinicaltrials.gov/study/NCT03988634
NCT03988634,HF_HOSPITALIZATION,Number of Pairwise Comparisons With Wins or Ties in the Endpoint Adjudication Committee (EAC)-Adjudicated Composite Hierarchical Outcome,"This hierarchical composite endpoint consists of 4 ordered components: 1. Time to CV death, 2. Number and times of HF hospitalizations during follow-up, 3. Number and times of urgent HF visits during follow-up, 4. Time averaged proportional change in NT-proBNP from baseline to Weeks 4 and 8. This endpoint was analyzed estimating the unmatched win ratio by comparing every participant in the sacubitril/valsartan arm to every participant in the valsartan arm to determine a winner (unmatched pairing method). For every pair, a patient is labelled a 'winner' (i.e. achieve a better clinical outcome) or a 'loser'. Otherwise they are considered tied. The reported unit is the total ""wins"" or ""ties"" for each treatment group from performing such a hierarchical comparison.",Up to 84 weeks,19.33256616800921,1,resultsSection.outcomeMeasuresModule.outcomeMeasures[1],OG000,Sacubitril/Valsartan (LCZ696),treatment,ARNI,sacubitril/valsartan,50583.0,54289,50583.0,True,False,,https://clinicaltrials.gov/study/NCT03988634
NCT03988634,HF_HOSPITALIZATION,Number of Pairwise Comparisons With Wins or Ties in the Endpoint Adjudication Committee (EAC)-Adjudicated Composite Hierarchical Outcome,"This hierarchical composite endpoint consists of 4 ordered components: 1. Time to CV death, 2. Number and times of HF hospitalizations during follow-up, 3. Number and times of urgent HF visits during follow-up, 4. Time averaged proportional change in NT-proBNP from baseline to Weeks 4 and 8. This endpoint was analyzed estimating the unmatched win ratio by comparing every participant in the sacubitril/valsartan arm to every participant in the valsartan arm to determine a winner (unmatched pairing method). For every pair, a patient is labelled a 'winner' (i.e. achieve a better clinical outcome) or a 'loser'. Otherwise they are considered tied. The reported unit is the total ""wins"" or ""ties"" for each treatment group from performing such a hierarchical comparison.",Up to 84 weeks,19.33256616800921,1,resultsSection.outcomeMeasuresModule.outcomeMeasures[1],OG001,Valsartan,treatment,ARB/ACEi,valsartan,50583.0,54289,50583.0,True,False,,https://clinicaltrials.gov/study/NCT03988634
NCT04435626,HF_HOSPITALIZATION,Occurrence of the Composite Endpoint of Cardiovascular Death and Total (First and Recurrent) Heart Failure Events,Number of composite endpoint events of cardiovascular death and total (first and recurrent) heart failure (HF) events (hospitalization for heart failure or urgent HF visit) in HF patients.,"From randomization up until the end of study, with an average study duration of 32 months",32.0,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG000,Finerenone (BAY94-8862),treatment,MRA,finerenone,1083.0,3003,1083.0,True,False,,https://clinicaltrials.gov/study/NCT04435626
NCT04435626,HF_HOSPITALIZATION,Occurrence of the Composite Endpoint of Cardiovascular Death and Total (First and Recurrent) Heart Failure Events,Number of composite endpoint events of cardiovascular death and total (first and recurrent) heart failure (HF) events (hospitalization for heart failure or urgent HF visit) in HF patients.,"From randomization up until the end of study, with an average study duration of 32 months",32.0,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG001,Placebo,comparator,Placebo/SoC,placebo,1283.0,2998,1283.0,True,False,,https://clinicaltrials.gov/study/NCT04435626
NCT04788511,HF_HOSPITALIZATION,The Hierarchical Composite Endpoint: Percentage of Wins of Participant Pairs,"The hierarchical composite outcome measure from baseline (week 0) to end of study (week 57) consists of the components: time to all-cause death, number of heart failure events requiring hospitalization or urgent heart failure visit, time to first heart failure event requiring hospitalization or urgent heart failure visit, difference at least 15 in KCCQ CSS change from baseline to 52 weeks, difference at least 10 in KCCQ CSS change from baseline to 52 weeks, difference at least 5 in KCCQ CSS change from baseline to 52 weeks and difference at least 30 meters in six-minute walking distance change from baseline to 52 weeks. It was analyzed by the win-ratio approach using all participants pairs across treatment groups. Overall summary of wins in each treatment group is presented. The outcome measure was evaluated based on the data from in-trial period. In-trial period was defined as uninterrupted time interval from date of randomization to date of last contact with trial site.",From baseline (week 0) to end of study (week 57),13.118527042577677,3,resultsSection.outcomeMeasuresModule.outcomeMeasures[3],OG001,Placebo,comparator,Placebo/SoC,placebo,35.0,266,34.9,True,False,,https://clinicaltrials.gov/study/NCT04788511
NCT04788511,HF_HOSPITALIZATION,The Hierarchical Composite Endpoint: Percentage of Wins of Participant Pairs,"The hierarchical composite outcome measure from baseline (week 0) to end of study (week 57) consists of the components: time to all-cause death, number of heart failure events requiring hospitalization or urgent heart failure visit, time to first heart failure event requiring hospitalization or urgent heart failure visit, difference at least 15 in KCCQ CSS change from baseline to 52 weeks, difference at least 10 in KCCQ CSS change from baseline to 52 weeks, difference at least 5 in KCCQ CSS change from baseline to 52 weeks and difference at least 30 meters in six-minute walking distance change from baseline to 52 weeks. It was analyzed by the win-ratio approach using all participants pairs across treatment groups. Overall summary of wins in each treatment group is presented. The outcome measure was evaluated based on the data from in-trial period. In-trial period was defined as uninterrupted time interval from date of randomization to date of last contact with trial site.",From baseline (week 0) to end of study (week 57),13.118527042577677,3,resultsSection.outcomeMeasuresModule.outcomeMeasures[3],OG000,Semaglutide 2.4 mg,treatment,Other,semaglutide 2.4 mg,60.0,263,60.1,True,False,,https://clinicaltrials.gov/study/NCT04788511
NCT04847557,HF_HOSPITALIZATION,First Occurrence of the Composite Endpoint of Heart Failure (HF) Outcomes,"Clinical Endpoint Committe confirmed Occurrences of CV outcomes were reported here. HF outcomes consisted of cardiovascular death and HF events. The HF events were defined as worsening clinical symptoms or signs related to HF, which are meaningful to the participant and require intensification of treatment characterized by 1 or more of the following: * hospitalization for heart failure regardless of duration or treatment received * use of intravenous drug, usually an intravenous diuretic, but may include intravenous vasodilators or positive inotropic drugs, or * augmentation or increase in oral diuretic therapy.",Baseline Up To 160 weeks,36.82393555811278,1,resultsSection.outcomeMeasuresModule.outcomeMeasures[1],OG001,Placebo,comparator,Placebo/SoC,placebo,56.0,367,56.0,True,False,,https://clinicaltrials.gov/study/NCT04847557
NCT04847557,HF_HOSPITALIZATION,First Occurrence of the Composite Endpoint of Heart Failure (HF) Outcomes,"Clinical Endpoint Committe confirmed Occurrences of CV outcomes were reported here. HF outcomes consisted of cardiovascular death and HF events. The HF events were defined as worsening clinical symptoms or signs related to HF, which are meaningful to the participant and require intensification of treatment characterized by 1 or more of the following: * hospitalization for heart failure regardless of duration or treatment received * use of intravenous drug, usually an intravenous diuretic, but may include intravenous vasodilators or positive inotropic drugs, or * augmentation or increase in oral diuretic therapy.",Baseline Up To 160 weeks,36.82393555811278,1,resultsSection.outcomeMeasuresModule.outcomeMeasures[1],OG000,Tirzepatide - MTD,treatment,Other,tirzepatide - mtd,36.0,364,36.0,True,False,,https://clinicaltrials.gov/study/NCT04847557
