nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT03133793,SAE,Adverse events (AEs) were assessed every 4 weeks throughout treatment from time of first dose and up to the last day at 12 weeks. AEs were evaluated over treatment which was a maximum duration of 3 cycles (approximately 3 months).,3.0,resultsSection.adverseEventsModule,EG000,Placebo Only,comparator,Placebo/SoC,placebo,3,,38,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03133793
NCT03153111,SAE,Up to 17 months,17.0,resultsSection.adverseEventsModule,EG000,Macitentan,treatment,Other,macitentan,6,,71,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03153111
NCT03153111,SAE,Up to 17 months,17.0,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,6,,71,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03153111
NCT03254485,SAE,From first dose of study drug (Day 1) up to Follow-up Visit (Day 113),3.7125256673511293,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,2,,90,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03254485
NCT03254485,SAE,From first dose of study drug (Day 1) up to Follow-up Visit (Day 113),3.7125256673511293,resultsSection.adverseEventsModule,EG003,Praliciguat 40 mg,treatment,sGC stimulators,praliciguat,1,,91,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03254485
NCT03276728,SAE,Part A: Day 1 up to Day 31 Part B: Day 1 up to Day 37 Part C: Day 1 up to Day 51,1.675564681724846,resultsSection.adverseEventsModule,EG007,Part C: HFpEF AMG 986,treatment,Other,part c: hfpef amg 986,1,,3,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03276728
NCT03327649,SAE,3 months,3.0,resultsSection.adverseEventsModule,EG001,Active Treatment,treatment,Other,active treatment,4,,24,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03327649
NCT03327649,SAE,3 months,3.0,resultsSection.adverseEventsModule,EG000,Sham Control,comparator,Placebo/SoC,placebo,3,,24,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03327649
NCT03448406,SAE,"From first intake of study medication, until 7 days after last intake of study medication, up to 92 days.",0.22997946611909653,resultsSection.adverseEventsModule,EG001,10 mg Empagliflozin,treatment,SGLT2 inhibitors,empagliflozin,6,,157,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03448406
NCT03448406,SAE,"From first intake of study medication, until 7 days after last intake of study medication, up to 92 days.",0.22997946611909653,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,13,,158,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03448406
NCT03541603,SAE,6 weeks,1.3808975834292292,resultsSection.adverseEventsModule,EG000,Levosimendan 2.5mg/mL Injectable Solution,treatment,Other,levosimendan 2.5mg/ml injectable solution,2,,18,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03541603
NCT03541603,SAE,6 weeks,1.3808975834292292,resultsSection.adverseEventsModule,EG001,Matching Placebo,comparator,Placebo/SoC,placebo,1,,19,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03541603
NCT03547583,SAE,Timeframe for reporting adverse events: From the first application of study medication up to 5 calendar days after end of treatment with study medication. Timeframe for number of death (all causes): After study medication start until last contact date. (The median follow-up time is 197 days.),6.4722792607802875,resultsSection.adverseEventsModule,EG002,Placebo,comparator,Placebo/SoC,placebo,4,,262,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03547583
NCT03547583,SAE,Timeframe for reporting adverse events: From the first application of study medication up to 5 calendar days after end of treatment with study medication. Timeframe for number of death (all causes): After study medication start until last contact date. (The median follow-up time is 197 days.),6.4722792607802875,resultsSection.adverseEventsModule,EG000,Vericiguat up to 10 mg,treatment,sGC stimulators,vericiguat,4,,262,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03547583
NCT03547583,SAE,Timeframe for reporting adverse events: From the first application of study medication up to 5 calendar days after end of treatment with study medication. Timeframe for number of death (all causes): After study medication start until last contact date. (The median follow-up time is 197 days.),6.4722792607802875,resultsSection.adverseEventsModule,EG001,Vericiguat up to 15 mg,treatment,sGC stimulators,vericiguat,7,,264,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03547583
NCT03611153,SAE,"Adverse events were collected on each participant from the start of the invasive testing procedure and study drug administration, through the follow-up visit, which was approximately 9-14 days later; for a total of approximately 15 days.",0.45995893223819306,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1,,15,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03611153
NCT03619213,SAE,"[All-cause mortality]: From randomization until end of study, up to 42.2 months. [Serious AE and other AE] From first dose until end of study, up to 42.2 months.",42.2,resultsSection.adverseEventsModule,EG000,Dapa 10 mg,treatment,SGLT2 inhibitors,dapa 10 mg,308,,3126,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03619213
NCT03619213,SAE,"[All-cause mortality]: From randomization until end of study, up to 42.2 months. [Serious AE and other AE] From first dose until end of study, up to 42.2 months.",42.2,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,377,,3127,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03619213
NCT03756285,SAE,"Adverse Events will be collected from the time of the first dose throughout the treatment period and including the follow-up period, up to 124 days. Serious Adverse Events will be recorded from the time of signing the informed consent form through follow-up period, up to 124 days.",4.073921971252567,resultsSection.adverseEventsModule,EG000,AZD4831,treatment,Other,azd4831,1,,27,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03756285
NCT03756285,SAE,"Adverse Events will be collected from the time of the first dose throughout the treatment period and including the follow-up period, up to 124 days. Serious Adverse Events will be recorded from the time of signing the informed consent form through follow-up period, up to 124 days.",4.073921971252567,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1,,14,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03756285
NCT03877224,SAE,"Includes data collected on or after date of first dose and up to (including) 30 days following last dose of randomized study drug, and no later than visit 5 (up to day 119). Deaths collected on or after first dose of randomized study drug, up to 119 days.",0.9856262833675565,resultsSection.adverseEventsModule,EG000,Dapa 10 mg,treatment,SGLT2 inhibitors,dapa 10 mg,4,,252,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03877224
NCT03877224,SAE,"Includes data collected on or after date of first dose and up to (including) 30 days following last dose of randomized study drug, and no later than visit 5 (up to day 119). Deaths collected on or after first dose of randomized study drug, up to 119 days.",0.9856262833675565,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,4,,249,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03877224
NCT03988634,SAE,"Adverse events of the double-blind phase were reported from first dose of study treatment until end of study treatment plus 1 month post treatment, up to a maximum duration of 21 months. For those patients enrolled during the original version (00) of the protocol, where the open-label phase existed, adverse events were reported during the 4 week Open-Label period, and 1 month post treatment, for a maximum of 2 months.",1.0,resultsSection.adverseEventsModule,EG000,Double-blind Phase Sacubitril+ Valsartan (LCZ696),treatment,ARNI,sacubitril,22,,233,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03988634
NCT03988634,SAE,"Adverse events of the double-blind phase were reported from first dose of study treatment until end of study treatment plus 1 month post treatment, up to a maximum duration of 21 months. For those patients enrolled during the original version (00) of the protocol, where the open-label phase existed, adverse events were reported during the 4 week Open-Label period, and 1 month post treatment, for a maximum of 2 months.",1.0,resultsSection.adverseEventsModule,EG001,Double-blind Phase Valsartan,treatment,ARB/ACEi,valsartan,20,,233,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03988634
NCT03988634,SAE,"Adverse events of the double-blind phase were reported from first dose of study treatment until end of study treatment plus 1 month post treatment, up to a maximum duration of 21 months. For those patients enrolled during the original version (00) of the protocol, where the open-label phase existed, adverse events were reported during the 4 week Open-Label period, and 1 month post treatment, for a maximum of 2 months.",1.0,resultsSection.adverseEventsModule,EG002,Open-label Phase Sacubitril+ Valsartan,treatment,ARNI,sacubitril,1,,50,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03988634
NCT04111536,SAE,17 weeks,3.9125431530494827,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1,,28,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04111536
NCT04327024,SAE,Adverse events were collected with onset date on or after first dose and up to the end of the study (week 36). Serious adverse events were collected with onset date on or after the signing of the informed consent form and up to the end of the study (week 36).,8.285385500575375,resultsSection.adverseEventsModule,EG001,Allopurinol,treatment,Other,allopurinol,5,,53,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04327024
NCT04327024,SAE,Adverse events were collected with onset date on or after first dose and up to the end of the study (week 36). Serious adverse events were collected with onset date on or after the signing of the informed consent form and up to the end of the study (week 36).,8.285385500575375,resultsSection.adverseEventsModule,EG002,Placebo,comparator,Placebo/SoC,placebo,2,,53,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04327024
NCT04327024,SAE,Adverse events were collected with onset date on or after first dose and up to the end of the study (week 36). Serious adverse events were collected with onset date on or after the signing of the informed consent form and up to the end of the study (week 36).,8.285385500575375,resultsSection.adverseEventsModule,EG000,Verinurad + Allopurinol,treatment,Other,verinurad + allopurinol,2,,53,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04327024
NCT04424914,SAE,Day 1 up to 6 months of follow-up,6.0,resultsSection.adverseEventsModule,EG002,Non-evaluable Participants,treatment,Other,non-evaluable participants,1,,32,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04424914
NCT04424914,SAE,Day 1 up to 6 months of follow-up,6.0,resultsSection.adverseEventsModule,EG000,Participants With ATTR-CM,treatment,Other,participants with attr-cm,2,,56,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04424914
NCT04424914,SAE,Day 1 up to 6 months of follow-up,6.0,resultsSection.adverseEventsModule,EG001,Participants Without ATTR-CM,treatment,Other,participants without attr-cm,4,,259,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04424914
NCT04434664,SAE,"From enrollment until the end of follow-up, an average of 10 weeks",2.3014959723820487,resultsSection.adverseEventsModule,EG000,Amlodipine Besylate,treatment,Other,amlodipine besylate,1,,45,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04434664
NCT04435626,SAE,"Treatment emergent adverse events (TEAEs) are considered from the start of study intervention up to 3 days after the last study intervention administration, with an average treatment duration of 28 months. In contrast, numbers for all-cause mortality listed below consider all deaths after randomization over the entire average study duration of 32 months, independent of treatment and including deaths which occurred after the end of study visit in the 4-week follow-up period.",28.0,resultsSection.adverseEventsModule,EG000,Finerenone (BAY94-8862),treatment,MRA,finerenone,87,,2993,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04435626
NCT04435626,SAE,"Treatment emergent adverse events (TEAEs) are considered from the start of study intervention up to 3 days after the last study intervention administration, with an average treatment duration of 28 months. In contrast, numbers for all-cause mortality listed below consider all deaths after randomization over the entire average study duration of 32 months, independent of treatment and including deaths which occurred after the end of study visit in the 4-week follow-up period.",28.0,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,110,,2993,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04435626
NCT04633460,SAE,"Adverse events were collected the day of the study visit (the day of the first intervention visit, ""Day 1"", and the day of the second intervention visit, approximately ""Day 8"").",0.26283367556468173,resultsSection.adverseEventsModule,EG000,Ketone Ester,treatment,Other,ketone ester,1,,20,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04633460
NCT04730947,SAE,Adverse events were collected on each participant from enrollment through approximately one week following the final on-site study visit for a total of approximately seven months.,,resultsSection.adverseEventsModule,EG000,Dapagliflozin Group,treatment,SGLT2 inhibitors,dapagliflozin,1,,21,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04730947
NCT04767061,SAE,"During the intervention period, which can include up to 4 periods, with each period being up to 6 weeks, and through the follow-up period, which lasts for 1 year after the subject's end of intervention date.",12.0,resultsSection.adverseEventsModule,EG002,Subjects in Follow-Up,treatment,Other,subjects in follow-up,1,,9,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04767061
NCT04788511,SAE,From baseline (week 0) to end of trial (week 57),13.118527042577677,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,12,,266,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04788511
NCT04788511,SAE,From baseline (week 0) to end of trial (week 57),13.118527042577677,resultsSection.adverseEventsModule,EG000,Semaglutide 2.4 mg,treatment,Other,semaglutide 2.4 mg,5,,263,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04788511
NCT04847557,SAE,Baseline Up To 162 Weeks,37.284234752589185,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,18,,367,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04847557
NCT04847557,SAE,Baseline Up To 162 Weeks,37.284234752589185,resultsSection.adverseEventsModule,EG000,Tirzepatide - MTD,treatment,Other,tirzepatide - mtd,12,,364,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04847557
NCT04986202,SAE,"The on-study period (Baseline - 52 weeks). The on-study period for is calculated from the date of the first dose of IP and to the earliest date of withdrawal of consent or date of death. If withdrawal of consent or death did not occur, it is calculated from the date of the first dose of IP and to the last study visit.",11.967779056386652,resultsSection.adverseEventsModule,EG000,AZD4831 2.5 mg,treatment,Other,azd4831 2.5 mg,10,,234,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04986202
NCT04986202,SAE,"The on-study period (Baseline - 52 weeks). The on-study period for is calculated from the date of the first dose of IP and to the earliest date of withdrawal of consent or date of death. If withdrawal of consent or death did not occur, it is calculated from the date of the first dose of IP and to the last study visit.",11.967779056386652,resultsSection.adverseEventsModule,EG001,AZD4831 5 mg,treatment,Other,azd4831 5 mg,13,,240,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04986202
NCT04986202,SAE,"The on-study period (Baseline - 52 weeks). The on-study period for is calculated from the date of the first dose of IP and to the earliest date of withdrawal of consent or date of death. If withdrawal of consent or death did not occur, it is calculated from the date of the first dose of IP and to the last study visit.",11.967779056386652,resultsSection.adverseEventsModule,EG002,Placebo,comparator,Placebo/SoC,placebo,13,,235,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT04986202
NCT05126836,SAE,1 month,1.0,resultsSection.adverseEventsModule,EG000,Cilostazol,treatment,Other,cilostazol,3,,23,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05126836
NCT05126836,SAE,1 month,1.0,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,2,,23,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05126836
NCT05409183,SAE,Through week 12 plus a 4-week follow-up period.,2.761795166858458,resultsSection.adverseEventsModule,EG006,Overall CRD-740,treatment,Other,overall crd-740,1,,40,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05409183
NCT05409183,SAE,Through week 12 plus a 4-week follow-up period.,2.761795166858458,resultsSection.adverseEventsModule,EG007,Overall Placebo,comparator,Placebo/SoC,placebo,1,,20,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05409183
NCT05409183,SAE,Through week 12 plus a 4-week follow-up period.,2.761795166858458,resultsSection.adverseEventsModule,EG000,Period 1: CRD-740,treatment,Other,period 1: crd-740,1,,40,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05409183
NCT05409183,SAE,Through week 12 plus a 4-week follow-up period.,2.761795166858458,resultsSection.adverseEventsModule,EG002,Period 2: CRD-740,treatment,Other,period 2: crd-740,1,,38,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05409183
NCT05409183,SAE,Through week 12 plus a 4-week follow-up period.,2.761795166858458,resultsSection.adverseEventsModule,EG005,Period 3: Placebo,comparator,Placebo/SoC,placebo,1,,19,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05409183
NCT05592275,SAE,Baseline up to Week 30,6.904487917146145,resultsSection.adverseEventsModule,EG002,100 mg LY3540378,treatment,Other,100 mg ly3540378,5,,81,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05592275
NCT05592275,SAE,Baseline up to Week 30,6.904487917146145,resultsSection.adverseEventsModule,EG000,25 mg LY3540378,treatment,Other,25 mg ly3540378,4,,79,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05592275
NCT05592275,SAE,Baseline up to Week 30,6.904487917146145,resultsSection.adverseEventsModule,EG001,50 mg LY3540378,treatment,Other,50 mg ly3540378,9,,83,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05592275
NCT05592275,SAE,Baseline up to Week 30,6.904487917146145,resultsSection.adverseEventsModule,EG003,Placebo,comparator,Placebo/SoC,placebo,3,,88,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT05592275
