nct_id,outcome,intervention_class,intervention_label,comparator_class,e_t,n_t,e_c,n_c,e_c_raw,n_c_raw,control_split_factor,cer,log_rr,var_log_rr,rr,ef_band,primary_completion_year,enrollment,time_months
NCT01009918,SAE,ARB/ACEi,lisinopril,Placebo/SoC,5.0,158.0,3.0,77.0,6.0,154.0,2.0,0.03896103896103896,-0.2079639874072922,0.5140172064222697,0.8122362869198313,strict_hfpef,2017.0,468,12.0
NCT04435626,SAE,MRA,finerenone,Placebo/SoC,1157.0,2993.0,1213.0,2993.0,1213.0,2993.0,1.0,0.4052789842966923,-0.047266181750373566,0.0010204806830764201,0.953833470733718,mixed_or_midrange,2024.0,6016,28.0
NCT01009918,SAE,Other,arm ii coreg cr®,Placebo/SoC,4.0,156.0,3.0,77.0,6.0,154.0,2.0,0.03896103896103896,-0.4183685129440723,0.5639360639360639,0.6581196581196581,strict_hfpef,2017.0,468,12.0
NCT01516346,SAE,Other,isosorbide dinitrate; isosorbide dinitrate + hydralazine,Placebo/SoC,6.0,28.0,1.0,16.0,1.0,16.0,1.0,0.0625,1.2321436812926323,1.068452380952381,3.4285714285714284,strict_hfpef,2016.0,44,5.523590333716917
NCT02173548,SAE,Other,anakinra,Placebo/SoC,1.0,20.0,1.0,10.0,1.0,10.0,1.0,0.1,-0.6931471805599453,1.8499999999999999,0.5,strict_hfpef,2017.0,31,5.523590333716917
NCT02501811,SAE,Other,cpcs; mscs; mscs + cpcs,Placebo/SoC,41.0,93.0,18.0,32.0,18.0,32.0,1.0,0.5625,-0.24366328154538625,0.03794311128595157,0.7837514934289128,strict_hfpef,2020.0,125,12.0
NCT02713126,SAE,Other,sodium nitrite,Placebo/SoC,7.0,37.0,3.0,36.0,3.0,36.0,1.0,0.08333333333333333,0.8198988861990893,0.42138567138567135,2.2702702702702706,strict_hfpef,2022.0,92,3.222094361334868
NCT02742129,SAE,Other,air001,Placebo/SoC,5.0,103.0,4.0,102.0,4.0,102.0,1.0,0.0392156862745098,0.21338737636884497,0.4304873405672949,1.2378640776699028,strict_hfpef,2017.0,105,0.4602991944764097
NCT02941705,SAE,Other,recieved cells,Placebo/SoC,3.0,13.0,3.0,13.0,3.0,13.0,1.0,0.23076923076923078,0.0,0.5128205128205128,1.0,strict_hfpef,2023.0,27,12.0
NCT03037580,SAE,Other,oral treprostinil,Placebo/SoC,11.0,41.0,8.0,43.0,8.0,43.0,1.0,0.18604651162790697,0.3660817801077893,0.16826303305316354,1.4420731707317074,mixed_or_midrange,2019.0,84,5.523590333716917
NCT03098979,SAE,Other,neladenoson bialanate 10mg; neladenoson bialanate 20mg; neladenoson bialanate 30mg; neladenoson bialanate 40mg; neladenoson bialanate 5mg,Placebo/SoC,61.0,229.0,21.0,76.0,21.0,76.0,1.0,0.27631578947368424,-0.036637236818020384,0.0464877832780821,0.9640257849864836,mixed_or_midrange,2018.0,305,5.983889528193326
NCT03133793,SAE,Other,coq10 + d-ribose; coq10 only; d-ribose only,Placebo/SoC,22.0,101.0,8.0,38.0,8.0,38.0,1.0,0.21052631578947367,0.03406655456360627,0.13423776588185135,1.0346534653465347,strict_hfpef,2021.0,216,3.0
NCT03153111,SAE,Other,macitentan,Placebo/SoC,29.0,71.0,23.0,71.0,23.0,71.0,1.0,0.323943661971831,0.23180161405732438,0.04979200540574783,1.2608695652173914,mixed_or_midrange,2021.0,143,17.0
NCT03357731,SAE,Other,nitroglycerin (ntg),Placebo/SoC,1.0,44.0,1.0,40.0,1.0,40.0,1.0,0.025,-0.0953101798043249,1.9522727272727274,0.9090909090909091,mixed_or_midrange,2019.0,49,3.0
NCT03387813,SAE,Other,randomized arm - treatment group,Placebo/SoC,283.0,497.0,272.0,503.0,272.0,503.0,1.0,0.5407554671968191,0.05164497535035067,0.003209895487644747,1.0530018345366314,mixed_or_midrange,2023.0,2358,12.0
NCT03423342,SAE,Other,nicotinamide riboside,Placebo/SoC,1.0,20.0,2.0,10.0,2.0,10.0,1.0,0.2,-1.3862943611198906,1.3499999999999999,0.25,mixed_or_midrange,2019.0,30,3.6823935558112777
NCT03458130,SAE,Other,ag10 400mg,Placebo/SoC,1.0,16.0,2.0,17.0,2.0,17.0,1.0,0.11764705882352941,-0.6325225587435105,1.3786764705882353,0.53125,strict_hfpef,2018.0,49,0.9856262833675565
NCT03541603,SAE,Other,levosimendan 2.5mg/ml injectable solution,Placebo/SoC,3.0,18.0,1.0,19.0,1.0,19.0,1.0,0.05263157894736842,1.1526795099383853,1.2251461988304093,3.166666666666666,mixed_or_midrange,2020.0,44,1.3808975834292292
NCT03756285,SAE,Other,azd4831,Placebo/SoC,2.0,27.0,2.0,14.0,2.0,14.0,1.0,0.14285714285714285,-0.6567795363890705,0.8915343915343916,0.5185185185185185,mixed_or_midrange,2020.0,41,4.073921971252567
NCT04327024,SAE,Other,allopurinol; verinurad + allopurinol,Placebo/SoC,20.0,106.0,9.0,53.0,9.0,53.0,1.0,0.16981132075471697,0.10536051565782635,0.13280922431865827,1.1111111111111112,mixed_or_midrange,2022.0,159,8.285385500575375
NCT04788511,SAE,Other,semaglutide 2.4 mg,Placebo/SoC,35.0,263.0,71.0,266.0,71.0,266.0,1.0,0.2669172932330827,-0.6959895389479672,0.0350942557486202,0.49858083864403147,unknown,2023.0,529,13.118527042577677
NCT04847557,SAE,Other,tirzepatide - mtd,Placebo/SoC,96.0,364.0,94.0,367.0,94.0,367.0,1.0,0.2561307901907357,0.029261389615661902,0.015582916151427368,1.0296937105447743,strict_hfpef,2024.0,731,37.284234752589185
NCT04986202,SAE,Other,azd4831 2.5 mg; azd4831 5 mg,Placebo/SoC,117.0,474.0,56.0,235.0,56.0,235.0,1.0,0.23829787234042554,0.03520043651168925,0.020039127613865025,1.0358273056057865,mixed_or_midrange,2024.0,711,11.967779056386652
NCT05126836,SAE,Other,cilostazol,Placebo/SoC,3.0,23.0,5.0,23.0,5.0,23.0,1.0,0.21739130434782608,-0.5108256237659907,0.44637681159420284,0.6,strict_hfpef,2022.0,25,1.0
NCT05409183,SAE,Other,period 1: crd-740; period 2: crd-740,Placebo/SoC,2.0,78.0,1.0,19.0,1.0,19.0,1.0,0.05263157894736842,-0.719122666963206,1.4345479082321189,0.48717948717948717,mixed_or_midrange,2023.0,60,2.761795166858458
NCT05592275,SAE,Other,100 mg ly3540378; 25 mg ly3540378; 50 mg ly3540378,Placebo/SoC,65.0,243.0,15.0,88.0,15.0,88.0,1.0,0.17045454545454544,0.4506124399310851,0.06657241935019713,1.5692729766803841,strict_hfpef,2025.0,332,6.904487917146145
NCT03030222,SAE,SGLT2 inhibitors,empagliflozin,Placebo/SoC,8.0,33.0,9.0,32.0,9.0,32.0,1.0,0.28125,-0.14855469432313706,0.1745580808080808,0.861952861952862,mixed_or_midrange,2020.0,65,3.4522439585730726
NCT03030235,SAE,SGLT2 inhibitors,dapagliflozin,Placebo/SoC,31.0,162.0,22.0,162.0,22.0,162.0,1.0,0.13580246913580246,0.3429447511268304,0.06536693095832881,1.4090909090909092,mixed_or_midrange,2021.0,324,3.4522439585730726
NCT03057951,SAE,SGLT2 inhibitors,empagliflozin,Placebo/SoC,1436.0,2996.0,1543.0,2989.0,1543.0,2989.0,1.0,0.516226162596186,-0.0742062851081637,0.0006761285453794465,0.9284801424582527,mixed_or_midrange,2021.0,5988,47.24435318275154
NCT03332212,SAE,SGLT2 inhibitors,empagliflozin,Placebo/SoC,1.0,35.0,7.0,36.0,7.0,36.0,1.0,0.19444444444444445,-1.917739272088617,1.0865079365079366,0.14693877551020407,strict_hfpef,2020.0,72,0.22997946611909653
NCT03448406,SAE,SGLT2 inhibitors,empagliflozin,Placebo/SoC,20.0,157.0,29.0,158.0,29.0,158.0,1.0,0.18354430379746836,-0.3652143287538243,0.07178421794504666,0.6940478805183395,mixed_or_midrange,2019.0,315,0.22997946611909653
NCT03619213,SAE,SGLT2 inhibitors,dapa 10 mg,Placebo/SoC,1454.0,3126.0,1508.0,3127.0,1508.0,3127.0,1.0,0.4822513591301567,-0.036146043998017456,0.0007111949189450718,0.964499423844847,mixed_or_midrange,2022.0,6263,42.2
NCT03877224,SAE,SGLT2 inhibitors,dapa 10 mg,Placebo/SoC,26.0,252.0,19.0,249.0,19.0,249.0,1.0,0.07630522088353414,0.3016813678083257,0.0831087991836248,1.352130325814536,mixed_or_midrange,2020.0,504,0.9856262833675565
NCT01951638,SAE,sGC stimulators,bay1021189 1.25 mg; bay1021189 2.5 mg; bay1021189 from 2.5 to 10 mg; bay1021189 from 2.5 to 5 mg,Placebo/SoC,83.0,382.0,20.0,93.0,20.0,93.0,1.0,0.21505376344086022,0.010287218789287603,0.048677703551920914,1.0103403141361256,mixed_or_midrange,2015.0,477,0.16427104722792607
NCT03254485,SAE,sGC stimulators,praliciguat,Placebo/SoC,10.0,91.0,9.0,90.0,9.0,90.0,1.0,0.1,0.09431067947124121,0.18901098901098903,1.0989010989010988,mixed_or_midrange,2019.0,196,3.7125256673511293
NCT03547583,SAE,sGC stimulators,vericiguat,Placebo/SoC,100.0,526.0,48.0,262.0,48.0,262.0,1.0,0.183206106870229,0.03701246610358741,0.025115398755792915,1.0377059569074778,mixed_or_midrange,2019.0,789,6.4722792607802875
